Statistical profiling result from isolate-0x118008000-64678-v8.log, (6882 ticks, 113 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     99    1.4%          /usr/lib/system/libsystem_c.dylib
     74    1.1%          /usr/lib/system/libsystem_malloc.dylib
     63    0.9%          /usr/lib/libc++.1.dylib
     15    0.2%          /usr/lib/system/libsystem_platform.dylib
      4    0.1%          /usr/lib/system/libdyld.dylib
      1    0.0%          /usr/lib/system/libsystem_kernel.dylib
      1    0.0%          /opt/homebrew/Cellar/libuv/1.50.0/lib/libuv.1.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     43    0.6%    0.6%  RegExp: (?<=\n)
     30    0.4%    0.5%  JS: +parseSource node:internal/deps/cjs-module-lexer/lexer:85:22
     15    0.2%    0.2%  JS: *parseSource node:internal/deps/cjs-module-lexer/lexer:85:22
     15    0.2%    0.2%  JS: *getStringWidth node:internal/util/inspect:2392:43
     13    0.2%    0.2%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff]
     13    0.2%    0.2%  JS: *scan /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:12773:16
     10    0.1%    0.2%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff] {1}
      9    0.1%    0.1%  JS: *strEscape node:internal/util/inspect:518:19
      9    0.1%    0.1%  JS: *forEachChildRecursively /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:32831:33
      8    0.1%    0.1%  JS: *normalizeString node:path:77:25
      7    0.1%    0.1%  JS: *canHaveJSDoc /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:18998:22
      7    0.1%    0.1%  JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1630:28
      6    0.1%    0.1%  JS: *scanJsxToken /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:14310:24
      6    0.1%    0.1%  JS: *parseMemberExpressionRest /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:36739:37
      6    0.1%    0.1%  JS: *computeLineStarts /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:11632:27
      5    0.1%    0.1%  JS: *escapeFn node:internal/util/inspect:511:18
      4    0.1%    0.1%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff] {2}
      4    0.1%    0.1%  JS: *scanString /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:12388:22
      4    0.1%    0.1%  JS: *join node:path:1256:7
      4    0.1%    0.1%  JS: *getTransformFlagsSubtreeExclusions /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:29012:44
      4    0.1%    0.1%  JS: *getEntityValue /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/metadata/ColumnMetadata.js:424:19
      4    0.1%    0.1%  JS: *createNodeArray /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:25366:27
      3    0.0%    0.0%  RegExp: ^(?:.*\/)?[^\/]*\.db-journal(?=$|\/$)
      3    0.0%    0.0%  RegExp: :(\.\.\.)?([A-Za-z0-9_.]+)
      3    0.0%    0.0%  RegExp: (?:^|\/)[^\/]*\.db(?=$|\/$)
      3    0.0%    0.0%  JS: *transformColumns /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/transformer/RawSqlResultsToEntityTransformer.js:135:21
      3    0.0%    0.0%  JS: *parseTokenNode /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:33783:26
      3    0.0%    0.0%  JS: *formatValue node:internal/util/inspect:810:21
      3    0.0%    0.0%  JS: *createColumnValueExpression /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/InsertQueryBuilder.js:935:32
      3    0.0%    0.0%  JS: *createBaseDeclaration /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:25398:33
      2    0.0%    0.0%  RegExp: createGlobalStyle`([\s\S]*?)`
      2    0.0%    0.0%  RegExp: ^([A-Za-z0-9_.]+)$
      2    0.0%    0.0%  RegExp: ^(?:.*\/)?[^\/]*\.db-shm(?=$|\/$)
      2    0.0%    0.0%  RegExp: ^(?:.*\/)?[^\/]*\.db(?=$|\/$)
      2    0.0%    0.0%  RegExp: <style(?:\s+[^>]*?type=["']text/css["'][^>]*?)?>([\s\S]*?)</style>
      2    0.0%    0.0%  RegExp: <(\w+)(?:\s[^>]*)?>.*?</\1>
      2    0.0%    0.0%  RegExp: <%[\s\S]*?%>
      2    0.0%    0.0%  RegExp: ([ =(]|^.{0})(Component\.)([^ =(),]+)(?=[ =),]|.{0}$)
      2    0.0%    0.0%  RegExp: (?:^|\/)[^\/]*\.wal(?=$|\/$)
      2    0.0%    0.0%  RegExp: (?:^|\/)[^\/]*\.db-wal(?=$|\/$)
      2    0.0%    0.0%  JS: ^applyFindOptions /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1775:21
      2    0.0%    0.0%  JS: +query /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:42:16
      2    0.0%    0.0%  JS: +parseVariableDeclarationList /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:37848:40
      2    0.0%    0.0%  JS: +getMany /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:747:18
      2    0.0%    0.0%  JS: +getEntityValue /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/metadata/ColumnMetadata.js:424:19
      2    0.0%    0.0%  JS: +executeInsertOperations /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/SubjectExecutor.js:196:34
      2    0.0%    0.0%  JS: +createVariableDeclarationList /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:27189:41
      2    0.0%    0.0%  JS: +_t /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/ignore/index.js:674:6
      2    0.0%    0.0%  JS: *visitNodes /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:32310:20
      2    0.0%    0.0%  JS: *resolve node:path:1175:10
      2    0.0%    0.0%  JS: *parseExpected /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:33618:25
      2    0.0%    0.0%  JS: *parseBinaryExpressionRest /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:36151:37
