Statistical profiling result from isolate-0x130008000-64699-v8.log, (39114 ticks, 872 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   1338    3.4%          /usr/lib/system/libsystem_malloc.dylib
    125    0.3%          /usr/lib/system/libsystem_platform.dylib
    123    0.3%          /usr/lib/system/libsystem_c.dylib
     85    0.2%          /usr/lib/system/libdyld.dylib
     81    0.2%          /usr/lib/libc++.1.dylib
      8    0.0%          /opt/homebrew/Cellar/libuv/1.50.0/lib/libuv.1.dylib
      5    0.0%          /usr/lib/libc++abi.dylib
      1    0.0%          /usr/lib/system/libsystem_kernel.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    960    2.5%    2.6%  RegExp: (?<=\n)
    316    0.8%    0.8%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff]
    261    0.7%    0.7%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff] {1}
    237    0.6%    0.6%  JS: *getEntityValue /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/metadata/ColumnMetadata.js:424:19
    173    0.4%    0.5%  JS: *insert /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/ReturningResultsEntityUpdator.js:78:17
    147    0.4%    0.4%  JS: *groupArrayElements node:internal/util/inspect:1501:28
    128    0.3%    0.3%  JS: *strEscape node:internal/util/inspect:518:19
    120    0.3%    0.3%  JS: *createQueryBuilder /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/data-source/DataSource.js:378:23
     97    0.2%    0.3%  JS: *buildEscapedEntityColumnSelects /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1608:36
     92    0.2%    0.2%  RegExp: :(\.\.\.)?([A-Za-z0-9_.]+)
     91    0.2%    0.2%  JS: *executeEntitiesAndRawResults /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1972:39
     86    0.2%    0.2%  JS: *transform /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/transformer/PlainObjectToNewEntityTransformer.js:13:14
     85    0.2%    0.2%  JS: *formatValue node:internal/util/inspect:810:21
     81    0.2%    0.2%  JS: *execute /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/InsertQueryBuilder.js:38:18
     74    0.2%    0.2%  JS: *createColumnValueExpression /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/InsertQueryBuilder.js:935:32
     65    0.2%    0.2%  JS: *createSelectExpression /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1056:27
     63    0.2%    0.2%  JS: *scan /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:12773:16
     60    0.2%    0.2%  JS: *executeInsertOperations /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/SubjectExecutor.js:196:34
     58    0.1%    0.2%  JS: *transformColumns /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/transformer/RawSqlResultsToEntityTransformer.js:135:21
     56    0.1%    0.1%  JS: *replacePropertyNamesForTheWholeQuery /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryBuilder.js:432:41
     56    0.1%    0.1%  JS: *formatRaw node:internal/util/inspect:888:19
     53    0.1%    0.1%  JS: *merge /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/util/OrmUtils.js:426:17
     53    0.1%    0.1%  JS: *clone /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryExpressionMap.js:266:10
     52    0.1%    0.1%  JS: *object.<computed> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/trace.js:6:32
     50    0.1%    0.1%  RegExp: ^([A-Za-z0-9_.]+)$
     49    0.1%    0.1%  JS: *query /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:42:16
     48    0.1%    0.1%  JS: *getPredicates /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryBuilder.js:968:19
     46    0.1%    0.1%  JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1630:28
     45    0.1%    0.1%  JS: *broadcastLoadEvent /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/subscriber/Broadcaster.js:592:23
     40    0.1%    0.1%  JS: *resolve node:path:1175:10
     39    0.1%    0.1%  JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/Subject.js:156:50
     37    0.1%    0.1%  JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/transformer/RawSqlResultsToEntityTransformer.js:286:25
     36    0.1%    0.1%  JS: *handler /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:71:42
     35    0.1%    0.1%  JS: *getWhereCondition /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryBuilder.js:1092:22
     34    0.1%    0.1%  JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/SubjectChangedColumnsComputer.js:34:42
     33    0.1%    0.1%  RegExp: (?<=\n) {1}
     32    0.1%    0.1%  JS: *forEachChildRecursively /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:32831:33
     31    0.1%    0.1%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff] {2}
     31    0.1%    0.1%  RegExp: ([ =(]|^.{0})(Relationship\.)([^ =(),]+)(?=[ =),]|.{0}$)
     30    0.1%    0.1%  JS: *prepareHydratedValue /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite-abstract/AbstractSqliteDriver.js:242:25
     30    0.1%    0.1%  JS: *getEntityValue /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/metadata/RelationMetadata.js:244:19
     30    0.1%    0.1%  JS: *get metadata /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/Alias.js:21:17
     30    0.1%    0.1%  JS: *escapeFn node:internal/util/inspect:511:18
     28    0.1%    0.1%  RegExp: ([ =(]|^.{0})(relationships\.)([^ =(),]+)(?=[ =),]|.{0}$)
     28    0.1%    0.1%  JS: +parseSource node:internal/deps/cjs-module-lexer/lexer:85:22
